channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,130.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
1,MASK,255,q0_001,149.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
1,MASK,255,q0_250,2349.75,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
1,MASK,255,q0_500,3344.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
1,MASK,255,q0_750,4389.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
1,MASK,255,q0_999,10544.77199999991,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
1,MASK,255,q1_000,11935.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
2,MASK,255,q0_000,122.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
2,MASK,255,q0_001,160.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
2,MASK,255,q0_250,232.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
2,MASK,255,q0_500,258.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
2,MASK,255,q0_750,294.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
2,MASK,255,q0_999,1060.6549999999625,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
2,MASK,255,q1_000,2858.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
3,MASK,255,q0_000,236.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
3,MASK,255,q0_001,482.423,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
3,MASK,255,q0_250,1168.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
3,MASK,255,q0_500,1322.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
3,MASK,255,q0_750,1727.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
3,MASK,255,q0_999,31959.120999999817,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
3,MASK,255,q1_000,36470.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
1,CENTER-SURROUND,1,mean,3483.7654878265507,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
1,CENTER-SURROUND,1,std,1610.1534734812722,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
1,CENTER-SURROUND,1,mad,1095.0,201031JD002regimetestAAB_20201031_173042,B,2,11,glu-glu
